,Ticker,2023-12-31,2023-11-30,2023-10-31,2023-09-30,2023-08-31,2023-07-31,2023-06-30,2023-05-31,2023-04-30,2023-03-31,2023-02-28,2023-01-31,2022-12-31,2022-11-30,2022-10-31,2022-09-30,2022-08-31,2022-07-31,2022-06-30,2022-05-31,2022-04-30,2022-03-31,2022-02-28,2022-01-31,2021-12-31,2021-11-30,2021-10-31,2021-09-30,2021-08-31,2021-07-31,2021-06-30,2021-05-31,2021-04-30,2021-03-31,2021-02-28,2021-01-31,2020-12-31,2020-11-30,2020-10-31,2020-09-30,2020-08-31,2020-07-31,2020-06-30,2020-05-31,2020-04-30,2020-03-31,2020-02-29
153,ALGN,,,,,,,,,,,,,276832000.0,,,,,,,,,,,,771446000.0,,,,,,,,,,,,507258000.0,,,,,,,,,,
154,ALLE,,,,,,,,,,,,,395500000.0,,,,,,,,,,,,443200000.0,,,,,,,,,,,,443200000.0,,,,,,,,,,
155,AEE,,,,,,,,,,,,,-1117000000.0,,,,,,,,,,,,-1862000000.0,,,,,,,,,,,,-1572000000.0,,,,,,,,,,
156,AEP,,,,,,,,,,,,,-1484400000.0,,,,,,,,,,,,-1924200000.0,,,,,,,,,,,,-2483100000.0,,,,,,,,,,
157,AMT,,,,,,,,,,,,,1822600000.0,,,,,,,,,,,,3443200000.0,,,,,,,,,,,,2849700000.0,,,,,,,,,,
158,AWK,,,,,,,,,,,,,-1312000000.0,,,,,,,,,,,,-432000000.0,,,,,,,,,,,,-502000000.0,,,,,,,,,,
159,AMP,,,,,,,,,,,,,4225000000.0,,,,,,,,,,,,3205000000.0,,,,,,,,,,,,4476000000.0,,,,,,,,,,
160,AME,,,,,,,,,,,,,1010368000.0,,,,,,,,,,,,1049786000.0,,,,,,,,,,,,1206781000.0,,,,,,,,,,
161,APH,2155900000.0,,,,,,,,,,,,1790800000.0,,,,,,,,,,,,1179700000.0,,,,,,,,,,,,1315200000.0,,,,,,,,,,
162,ANSS,,,,,,,,,,,,,606633000.0,,,,,,,,,,,,526464000.0,,,,,,,,,,,,511940000.0,,,,,,,,,,
163,AOS,,,,,,,,,,,,,321100000.0,,,,,,,,,,,,566000000.0,,,,,,,,,,,,505300000.0,,,,,,,,,,
164,AON,,,,,,,,,,,,,3023000000.0,,,,,,,,,,,,2045000000.0,,,,,,,,,,,,2642000000.0,,,,,,,,,,
165,APA,,,,,,,,,,,,,2545000000.0,,,,,,,,,,,,2386000000.0,,,,,,,,,,,,114000000.0,,,,,,,,,,
166,APTV,990000000.0,,,,,,,,,,,,419000000.0,,,,,,,,,,,,611000000.0,,,,,,,,,,,,829000000.0,,,,,,,,,,
167,ADM,,,,,,,,,,,,,2159000000.0,,,,,,,,,,,,5426000000.0,,,,,,,,,,,,-3209000000.0,,,,,,,,,,
168,ANET,,,,,,,,,,,,,448169000.0,,,,,,,,,,,,951120000.0,,,,,,,,,,,,719730000.0,,,,,,,,,,
169,AJG,,,,,,,,,,,,,1942700000.0,,,,,,,,,,,,1575500000.0,,,,,,,,,,,,1707800000.0,,,,,,,,,,
170,AIZ,,,,,,,,,,,,,410600000.0,,,,,,,,,,,,594300000.0,,,,,,,,,,,,1220800000.0,,,,,,,,,,
171,ATO,,,,653770000.0,,,,,,,,,,,,-1466836000.0,,,,,,,,,,,,-3053791000.0,,,,,,,,,,,,-897677000.0,,,,,,,
